Row,Column,Value
24,22,0.00166454599153235
24,23,0.00166454599153235
24,24,0.785503003885982
25,1,-0.000737579584948233
25,5,-0.00837197529747013
25,6,0.00226013053154433
25,7,0.0101551599435214
25,8,-0.0063326760208366
25,9,-0.00176849219531612
25,10,0.0233562239937705
25,11,-0.000326470172240662
25,12,-0.000326470172240662
25,13,-0.280224831815901
25,14,-0.000326470172240662
25,15,-0.000326470172240662
25,16,-0.000326470172240662
25,17,-0.00092466974531464
25,18,-0.000326470172240662
25,19,-0.00092466974531464
25,20,-0.00114721662369306
25,21,0.00166454599153235
25,22,0.00166454599153235
25,23,0.00166454599153235
25,24,-0.0565991870561786
25,25,1.11987149174604
26,1,0.00820794612811956
26,5,-0.00249703000416931
26,6,0.00271115650612366
26,7,-0.0110754071478047
26,8,-0.00847794575410511
26,9,-0.00611277906448872
26,10,0.00242293906235858
26,11,-0.00375844462189186
26,12,-0.00375844462189186
26,13,0.0576565241166498
26,14,-0.00375844462189186
26,15,-0.00375844462189186
26,16,-0.00375844462189186
26,17,0.00100320672717947
26,18,-0.00375844462189186
26,19,0.00100320672717947
26,20,-0.00453668739575166
26,21,0.00282283799343956
26,22,0.00282283799343956
26,23,0.00282283799343956
26,24,-0.0152467468093701
26,25,-0.0152467468093701
26,26,0.689839260215229
27,1,-9.82140500512879e-05
27,5,-0.0010509491790836
27,6,0.0163887878669077
27,7,0.0193849170721273
27,8,-0.0076824143969445
27,9,0.00014402975920686
27,10,0.000452394912843906
27,11,-0.0038700998850657
27,12,-0.0038700998850657
27,13,-0.200206780555984
27,14,-0.0038700998850657
27,15,-0.0038700998850657
27,16,-0.0038700998850657
27,17,-0.00827938318556192
27,18,-0.0038700998850657
27,19,-0.00827938318556192
27,20,-0.00756325720896702
27,21,0.00472562052098155
27,22,0.00472562052098155
27,23,0.00472562052098155
27,24,-0.00111730597024698
27,25,-0.00111730597024698
27,26,2.82923964780489e-05
27,27,0.725206828413367
28,1,0.00842207310624958
28,5,-6.59922194654736e-05
28,6,0.00816495336381052
28,7,-0.0133531331586552
28,8,-0.00654787737770223
28,9,-0.00504526869874811
28,10,-0.00651601398963679
28,11,0.00163512715828662
28,12,0.00163512715828662
28,13,0.0160628532576404
28,14,0.00163512715828662
28,15,0.00163512715828662
28,16,0.00163512715828662
28,17,-0.0254024782552656
28,18,0.00163512715828662
28,19,-0.0254024782552656
28,20,-0.00392356715797823
28,21,0.00252560183438187
28,22,0.00252560183438187
28,23,0.00252560183438187
28,24,0.00247036919699615
28,25,0.00247036919699615
28,26,-0.0323583338182183
